rank,ema,atr_period,sl_mult,tp_mult,hours,tr_trades,tr_wr,tr_pf,tr_dd,tr_monthly,te_trades,te_wr,te_pf,te_dd,te_monthly,score
0,9/34/100,14,2.5,3.0,7-16h,86,58.1,1.671,-5.7%,2.2,-,-,-,-,-,0.6126
0,9/34/100,20,2.5,4.0,6-17h,77,50.6,1.665,-6.2%,2.23,-,-,-,-,-,0.6126
0,9/42/80,10,2.5,4.0,7-16h,63,52.4,1.765,-7.0%,2.07,26,34.6,0.835,-5.9%,-0.72,0.6126
0,5/50/80,10,2.0,4.0,0-23h,129,41.1,1.423,-8.0%,2.75,39,46.2,1.716,-5.9%,4.06,0.6123
0,9/34/100,10,3.0,4.0,6-17h,69,56.5,1.747,-4.3%,2.0,-,-,-,-,-,0.6122
0,12/50/80,10,3.0,4.0,6-17h,65,56.9,1.759,-3.0%,1.93,24,50.0,1.317,-3.9%,1.01,0.6122
0,9/50/80,14,2.5,4.0,7-16h,74,51.4,1.697,-9.3%,2.27,27,48.1,1.478,-3.9%,1.76,0.612
0,15/42/80,14,3.0,3.5,0-23h,85,58.8,1.671,-3.9%,2.13,39,41.0,0.797,-8.6%,-1.16,0.612
0,9/42/100,20,3.0,4.0,6-17h,71,56.3,1.729,-4.3%,2.03,21,47.6,1.2,-3.9%,0.57,0.6119
0,9/34/100,14,3.0,4.0,6-17h,71,56.3,1.728,-4.3%,2.03,-,-,-,-,-,0.6118
0,15/26/80,10,2.5,4.0,7-16h,59,52.5,1.793,-5.7%,1.95,20,55.0,1.975,-4.9%,2.28,0.6113
0,5/50/80,10,3.0,4.0,6-17h,73,56.2,1.729,-5.6%,2.06,25,52.0,1.444,-4.3%,1.37,0.6108
